Model,ACC,Precision,Recall,F1,MCC,TN,FP,FN,TP
SVM,0.352112676056338,0.352112676056338,1.0,0.5208333333333333,0.0,0,46,0,25
KNN,0.7887323943661971,1.0,0.4,0.5714285714285715,0.5492170283797608,46,0,15,10
Naive Bayes,0.4084507042253521,0.3508771929824561,0.8,0.4878048780487805,-0.005219388670016826,9,37,5,20
Random Forest,0.8309859154929577,1.0,0.52,0.6842105263157895,0.6421945134485721,46,0,12,13
ANN,0.7887323943661971,0.9166666666666666,0.44,0.5945945945945945,0.5330642129900672,45,1,14,11
LR,0.8028169014084507,0.8235294117647058,0.56,0.6666666666666666,0.5537860424126382,43,3,11,14
XGBoost,0.8169014084507042,0.9285714285714286,0.52,0.6666666666666666,0.5981419415839283,45,1,12,13
AdaBoost,0.8028169014084507,0.9230769230769231,0.48,0.631578947368421,0.5659473387749122,45,1,13,12
